"time (s)","Massflowrate (kg/s)"
0.00000,0.00005
0.01006,0.00002
0.02012,0.00001
0.03018,-0.00001
0.04024,-0.00004
0.05030,-0.00007
0.06036,-0.00011
0.07042,-0.00016
0.08048,-0.00021
0.09054,-0.00025
0.10060,-0.00028
0.11066,-0.00030
0.12072,-0.00031
0.13078,-0.00031
0.14084,-0.00029
0.15090,-0.00027
0.16096,-0.00025
0.17102,-0.00023
0.18108,-0.00021
0.19114,-0.00020
0.20120,-0.00019
0.21126,-0.00019
0.22132,-0.00020
0.23138,-0.00021
0.24144,-0.00022
0.25150,-0.00023
0.26156,-0.00023
0.27162,-0.00024
0.28168,-0.00022
0.29174,-0.00023
0.30180,-0.00022
0.31186,-0.00026
0.32192,-0.00024
0.33198,-0.00025
0.34204,-0.00025
0.35210,-0.00027
0.36216,-0.00023
0.37222,-0.00018
0.38228,-0.00023
0.39234,-0.00019
0.40240,-0.00013
0.41246,-0.00016
0.42252,-0.00019
0.43258,-0.00017
0.44264,-0.00018
0.45270,-0.00026
0.46276,-0.00025
0.47282,-0.00027
0.48288,-0.00027
0.49294,-0.00023
0.50300,-0.00023
0.51306,-0.00016
0.52312,-0.00020
0.53318,-0.00014
0.54324,-0.00020
0.55330,-0.00011
0.56336,-0.00020
0.57342,-0.00012
0.58348,-0.00018
0.59354,-0.00013
0.60360,-0.00023
0.61366,-0.00018
0.62372,-0.00027
0.63378,-0.00025
0.64384,-0.00031
0.65390,-0.00030
0.66396,-0.00034
0.67402,-0.00034
0.68408,-0.00033
0.69414,-0.00032
0.70420,-0.00028
0.71426,-0.00028
0.72432,-0.00020
0.73438,-0.00025
0.74444,-0.00019
0.75450,-0.00021
0.76456,-0.00022
0.77462,-0.00030
0.78468,-0.00029
0.79474,-0.00033
0.80480,-0.00033
0.81486,-0.00029
0.82492,-0.00027
0.83498,-0.00024
0.84504,-0.00026
0.85510,-0.00025
0.86516,-0.00026
0.87522,-0.00025
0.88528,-0.00023
0.89534,-0.00025
0.90540,-0.00022
0.91546,-0.00025
0.92552,-0.00025
0.93558,-0.00029
0.94564,-0.00027
0.95570,-0.00028
0.96576,-0.00025
0.97582,-0.00024
0.98588,-0.00022
0.99594,-0.00019
1.00600,-0.00019
1.01606,-0.00019
1.02612,-0.00020
1.03618,-0.00021
1.04624,-0.00023
1.05630,-0.00026
1.06636,-0.00027
1.07642,-0.00026
1.08648,-0.00021
1.09654,-0.00017
1.10660,-0.00011
1.11666,-0.00004
1.12672,0.00002
1.13678,0.00008
1.14684,0.00014
1.15690,0.00019
1.16696,0.00025
1.17702,0.00029
1.18708,0.00032
1.19714,0.00034
1.20720,0.00036
1.21726,0.00038
1.22732,0.00039
1.23738,0.00038
1.24744,0.00040
1.25750,0.00042
1.26756,0.00043
1.27762,0.00043
1.28768,0.00045
1.29774,0.00047
1.30780,0.00048
1.31786,0.00047
1.32792,0.00048
1.33798,0.00049
1.34804,0.00049
1.35810,0.00049
1.36816,0.00049
1.37822,0.00049
1.38828,0.00049
1.39834,0.00049
1.40840,0.00049
1.41846,0.00049
1.42852,0.00050
1.43858,0.00049
1.44864,0.00049
1.45870,0.00049
1.46876,0.00048
1.47882,0.00048
1.48888,0.00047
1.49894,0.00047
1.50900,0.00046
1.51906,0.00045
1.52912,0.00044
1.53918,0.00043
1.54924,0.00042
1.55930,0.00041
1.56936,0.00039
1.57942,0.00038
1.58948,0.00037
1.59954,0.00035
1.60960,0.00034
1.61966,0.00032
1.62972,0.00031
1.63978,0.00029
1.64984,0.00027
1.65990,0.00026
1.66996,0.00024
1.68002,0.00022
1.69008,0.00021
1.70014,0.00019
1.71020,0.00018
1.72026,0.00017
1.73032,0.00016
1.74038,0.00014
1.75044,0.00013
1.76050,0.00012
1.77056,0.00011
1.78062,0.00011
1.79068,0.00010
1.80074,0.00010
1.81080,0.00009
1.82086,0.00009
1.83092,0.00008
1.84098,0.00006
1.85104,0.00004
1.86110,0.00003
1.87116,0.00001
1.88122,-0.00000
1.89128,-0.00002
1.90134,-0.00004
1.91140,-0.00008
1.92146,-0.00012
1.93152,-0.00016
1.94158,-0.00020
1.95164,-0.00024
1.96170,-0.00026
1.97176,-0.00028
1.98182,-0.00029
1.99188,-0.00029
2.00194,-0.00030
2.01200,-0.00029
